COUNTY,RPL_THEME1,STATE
Lee,0.2375,ALABAMA
Lee,0.6326,ALABAMA
Colbert,0.5872,ALABAMA
Madison,0.6709,ALABAMA
Houston,0.4389,ALABAMA
Calhoun,0.6336,ALABAMA
Tuscaloosa,0.3118,ALABAMA
Montgomery,0.611,ALABAMA
Limestone,0.6567,ALABAMA
Tuscaloosa,0.524,ALABAMA
Cullman,0.7608,ALABAMA
Jefferson,0.7484,ALABAMA
Madison,0.5364,ALABAMA
Mobile,0.6318,ALABAMA
Morgan,0.4728,ALABAMA
Jefferson,0.3724,ALABAMA
Jefferson,0.3936,ALABAMA
Tuscaloosa,0.4874,ALABAMA
Lee,0.3757,ALABAMA
Jefferson,0.675,ALABAMA
Tuscaloosa,0.7663,ALABAMA
Madison,0.494,ALABAMA
Montgomery,0.7363,ALABAMA
Morgan,0.3562,ALABAMA
Mobile,0.6652,ALABAMA
Madison,0.5609,ALABAMA
Morgan,0.6202,ALABAMA
Jefferson,0.5425,ALABAMA
Houston,0.6233,ALABAMA
Lauderdale,0.3546,ALABAMA
DeKalb,0.7138,ALABAMA
Baldwin,0.2448,ALABAMA
Walker,0.6741,ALABAMA
Lee,0.5165,ALABAMA
Jefferson,0.58,ALABAMA
Baldwin,0.6245,ALABAMA
Houston,0.6183,ALABAMA
Lee,0.7862,ALABAMA
Jefferson,0.2476,ALABAMA
Crenshaw,0.4311,ALABAMA
Winston,0.5161,ALABAMA
Geneva,0.7246,ALABAMA
Clay,0.8954,ALABAMA
Mobile,0.5504,ALABAMA
Covington,0.563,ALABAMA
Covington,0.5237,ALABAMA
Dale,0.6444,ALABAMA
Mobile,0.4021,ALABAMA
Jefferson,0.3287,ALABAMA
Henry,0.5557,ALABAMA
St. Clair,0.7752,ALABAMA
Butler,0.6283,ALABAMA
Montgomery,0.3619,ALABAMA
Shelby,0.6277,ALABAMA
Elmore,0.582,ALABAMA
Dale,0.4653,ALABAMA
Baldwin,0.5838,ALABAMA
Jackson,0.7128,ALABAMA
Montgomery,0.4492,ALABAMA
Marshall,0.5083,ALABAMA
Mobile,0.5252,ALABAMA
Houston,0.2963,ALABAMA
Conecuh,0.6471,ALABAMA
Shelby,0.3898,ALABAMA
Shelby,0.3488,ALABAMA
Bullock,0.7256,ALABAMA
Russell,0.3025,ALABAMA
Madison,0.6184,ALABAMA
Jefferson,0.7178,ALABAMA
Dale,0.6516,ALABAMA
Autauga,0.2801,ALABAMA
Jefferson,0.3441,ALABAMA
Morgan,0.57,ALABAMA
St. Clair,0.6169,ALABAMA
Tuscaloosa,0.3421,ALABAMA
Jefferson,0.2334,ALABAMA
