STATE,COUNTY,NAME_LEA21,NAME_COUNTY21
04,006,Amphitheater Unified District,Pima County
04,017,Catalina Foothills Unified District,Pima County
04,022,Continental Elementary District,Pima County
04,028,Empire Elementary District,Pima County
04,030,Flowing Wells Unified District,Pima County
04,039,Indian Oasis-Baboquivari Unified District,Pima County
04,046,Marana Unified District,Pima County
04,047,Altar Valley Elementary District,Pima County
04,069,Redington Elementary District,Pima County
04,073,Sahuarita Unified District,Pima County
04,073,San Fernando Elementary District,Pima County
04,081,Sunnyside Unified District,Pima County
04,082,Tanque Verde Unified District,Pima County
04,088,Tucson Unified District,Pima County
04,088,Vail Unified District,Pima County
04,007,Apache Junction Unified District,Pinal County
04,017,Casa Grande Elementary District,Pinal County
04,017,Casa Grande Union High School District,Pinal County
04,023,Coolidge Unified District,Pinal County
04,027,Eloy Elementary District,Pinal County
04,029,Florence Unified School District,Pinal County
04,039,J. O. Combs Unified School District,Pinal County
04,045,Mammoth-San Manuel Unified District,Pinal County
04,047,Maricopa Unified School District,Pinal County
04,056,Oracle Elementary District,Pinal County
04,063,Picacho Elementary District,Pinal County
04,068,Ray Unified District,Pinal County
04,069,Red Rock Elementary District,Pinal County
04,072,Sacaton Elementary District,Pinal County
04,075,Santa Cruz Valley Union High School District,Pinal County
04,081,Stanfield Elementary District,Pinal County
04,082,Superior Unified School District,Pinal County
04,085,Toltec Elementary District,Pinal County
04,055,Nogales Unified District,Santa Cruz County
04,060,Patagonia Elementary District,Santa Cruz County
04,060,Patagonia Union High School District,Santa Cruz County
04,075,Santa Cruz Elementary District,Santa Cruz County
04,075,Santa Cruz Valley Unified District,Santa Cruz County
04,079,Sonoita Elementary District,Santa Cruz County
04,000,Chino Valley Unified District,Yavapai County
04,000,Clarkdale-Jerome Elementary District,Yavapai County
04,010,Bagdad Unified School District,Yavapai County
04,010,Beaver Creek Elementary District,Yavapai County
04,016,Camp Verde Unified District,Yavapai County
04,016,Canon Elementary District,Yavapai County
04,022,Congress Elementary District,Yavapai County
04,023,Cottonwood-Oak Creek Elementary District,Yavapai County
04,024,Crown King Elementary District,Yavapai County
04,038,Humboldt Unified District,Yavapai County
04,041,Kirkland Elementary District,Yavapai County
04,048,Mayer Unified District,Yavapai County
04,050,Mingus Union High School District,Yavapai County
04,067,Prescott Unified District,Yavapai County
04,076,Seligman Unified District,Yavapai County
04,077,Skull Valley Elementary District,Yavapai County
04,084,Hillside Elementary District,Yavapai County
04,090,Walnut Grove Elementary District,Yavapai County
04,093,Williamson Valley Elementary School District,Yavapai County
04,095,Yarnell Elementary District,Yavapai County
04,007,Antelope Union High School District,Yuma County
04,024,Crane Elementary District,Yuma County
04,032,Gadsden Elementary District,Yuma County
04,039,Hyder Elementary District,Yuma County
04,052,Mohawk Valley Elementary District,Yuma County
04,078,Somerton Elementary District,Yuma County
04,090,Wellton Elementary District,Yuma County
04,096,Yuma Elementary District,Yuma County
04,096,Yuma Union High School District,Yuma County
05,129,Stuttgart School District,Arkansas County
05,048,Crossett School District,Ashley County
05,046,Cotter School District,Baxter County
05,030,Pea Ridge School District,Benton County
05,030,Bentonville Public Schools,Benton County
05,049,Decatur School District,Benton County
05,065,Gentry Public Schools,Benton County
05,068,Gravette School District,Benton County
05,119,Rogers Public Schools,Benton County
05,030,Bergman School District,Boone County
05,109,Omaha School District,Boone County
05,133,Valley Springs School District,Boone County
05,000,Warren School District,Bradley County
05,077,Hermitage School District,Bradley County
05,072,Hampton School District,Calhoun County
05,059,Eureka Springs School District,Carroll County
05,068,Green Forest School District,Carroll County
05,024,Arkadelphia School District,Clark County
05,071,Gurdon School District,Clark County
05,113,Piggott School District,Clay County
05,075,Heber Springs School District,Cleburne County
05,144,Woodlawn School District,Cleveland County
05,000,Magnolia School District,Columbia County
05,104,Nemo Vista School District,Conway County
05,125,South Conway County School District,Conway County
05,000,Riverside School District,Craighead County
05,028,Bay School District,Craighead County
05,036,Brookland School District,Craighead County
05,082,Jonesboro Public Schools,Craighead County
05,104,Nettleton School District,Craighead County
05,133,Valley View School District,Craighead County
05,022,Alma School District,Crawford County
05,040,Cedarville School District,Crawford County
05,102,Mountainburg Schools,Crawford County
05,134,Van Buren School District,Crawford County
05,093,Marion School District,Crittenden County
05,098,Monticello School District,Drew County
05,045,Conway Public Schools,Faulkner County
05,071,Guy-Perkins Schools,Faulkner County
05,095,Mayflower School District,Faulkner County
05,135,Vilonia School District,Faulkner County
05,120,Salem School District,Fulton County
05,048,Cutter-Morning Star School District,Garland County
05,078,Hot Springs School District,Garland County
05,086,Lake Hamilton School District,Garland County
05,086,Lakeside School District,Garland County
05,101,Mountain Pine School District,Garland County
05,000,Marmaduke School District,Greene County
05,000,Paragould School District,Greene County
05,078,Hope School District,Hempstead County
05,126,Spring Hill School District,Hempstead County
05,109,Ouachita School District,Hot Spring County
05,000,Batesville School District,Independence County
05,125,Southside School District,Independence County
05,000,Izard Cty Consolidated Schools,Izard County
05,000,Newport School District,Jackson County
05,000,Pine Bluff School District,Jefferson County
05,054,Dollarway School District,Jefferson County
05,139,Watson Chapel School District,Jefferson County
05,141,White Hall School District,Jefferson County
05,043,Clarksville School District,Johnson County
05,140,Westside School District,Johnson County
05,000,Lawrence County School District,Lawrence County
05,079,Hoxie School District,Lawrence County
05,093,Lee County School District,Lee County
05,062,Foreman School District,Little River County
05,091,Magazine Schools,Logan County
05,111,Paris School District,Logan County
05,121,Scranton School District,Logan County
05,037,Cabot Public Schools,Lonoke County
05,058,England School District,Lonoke County
05,090,Lonoke School District,Lonoke County
05,061,Flippin School District,Marion County
05,041,Genoa Central School District,Miller County
05,063,Fouke School District,Miller County
05,131,Texarkana School District,Miller County
05,000,Gosnell School District,Mississippi County
05,000,Rivercrest School District,Mississippi County
05,000,Manila School District,Mississippi County
05,025,Armorel School District,Mississippi County
05,033,Blytheville School District,Mississippi County
05,109,Osceola School District,Mississippi County
05,037,Caddo Hills School District,Montgomery County
05,118,Prescott School District,Nevada County
05,060,Camden Fairview School District,Ouachita County
05,027,Barton-Lexa School District,Phillips County
05,076,Helena-West Helena School District,Phillips County
05,084,Kirby School District,Pike County
05,000,Trumann Schools,Poinsett County
05,073,Harrisburg School District,Poinsett County
05,094,Marked Tree School District,Poinsett County
05,097,Mena Public Schools,Polk County
05,026,Atkins Public Schools,Pope County
05,117,Pottsville Public Schools,Pope County
05,120,Russellville Schools,Pope County
05,075,Hazen School District,Prairie County
05,090,Little Rock School District,Pulaski County
05,106,North Little Rock School District,Pulaski County
05,095,Maynard School District,Randolph County
05,062,Forrest City School District,St. Francis County
05,036,Bryant Public Schools,Saline County
05,073,Harmony Grove School District,Saline County
05,063,Fort Smith Public Schools,Sebastian County
05,069,Greenwood School District,Sebastian County
05,071,Hackett Public Schools,Sebastian County
05,087,Lavaca Public Schools,Sebastian County
05,056,El Dorado School District,Union County
05,083,Junction City School District,Union County
05,112,Parkers Chapel School District,Union County
05,129,Strong School District,Union County
05,057,Elkins School District,Washington County
05,060,Farmington School District,Washington County
05,061,Fayetteville School District,Washington County
05,069,Greenland Public Schools,Washington County
05,089,Lincoln School District,Washington County
05,117,Prairie Grove School District,Washington County
05,140,West Fork School District,Washington County
05,041,White County Central School District,White County
05,084,Riverview School District,White County
05,096,McCrory School District,Woodruff County
05,000,Western Yell County School District,Yell County
05,048,Danville School District,Yell County
06,000,Dublin Unified School District,Alameda County
06,000,Pleasanton Unified School District,Alameda County
06,000,Sunol Glen Unified School District,Alameda County
06,017,Alameda City Unified School District,Alameda County
06,018,Albany City Unified School District,Alameda County
06,047,Berkeley Unified School District,Alameda County
06,060,Lammersville Joint Unified School District (9-12),Alameda County
06,078,Castro Valley Unified School District,Alameda County
06,126,Emery Unified School District,Alameda County
06,144,Fremont Unified School District,Alameda County
06,167,Hayward Unified School District,Alameda County
06,261,Mountain House Elementary School District,Alameda County
06,269,New Haven Unified School District,Alameda County
06,270,Newark Unified School District,Alameda County
06,280,Oakland Unified School District,Alameda County
06,303,Piedmont City Unified School District,Alameda County
06,346,San Leandro Unified School District,Alameda County
06,347,San Lorenzo Unified School District,Alameda County
06,020,Alpine County Unified School District,Alpine County
06,024,Amador County Unified School District,Amador County
06,000,Gridley Unified School District,Butte County
06,037,Bangor Union Elementary School District,Butte County
06,050,Biggs Unified School District,Butte County
06,083,Chico Unified School District,Butte County
06,117,Durham Unified School District,Butte County
06,154,Golden Feather Union Elementary School District,Butte County
06,237,Manzanita Elementary School District,Butte County
06,291,Oroville City Elementary School District,Butte County
06,291,Oroville Union High School District,Butte County
06,295,Palermo Union Elementary School District,Butte County
06,298,Paradise Unified School District,Butte County
06,305,Pioneer Union Elementary School District,Butte County
06,391,Thermalito Union School District,Butte County
06,990,Gridley Unified School District (9-12),Butte County
06,059,Bret Harte Union High School District,Calaveras County
06,068,Calaveras Unified School District,Calaveras County
06,239,Mark Twain Union Elementary School District,Calaveras County
06,406,Vallecito Union Elementary School District,Calaveras County
06,095,Colusa Unified School District,Colusa County
06,241,Maxwell Unified School District,Colusa County
06,425,Williams Unified School District,Colusa County
06,016,Acalanes Union High School District,Contra Costa County
06,028,Antioch Unified School District,Contra Costa County
06,059,Brentwood Union Elementary School District,Contra Costa County
06,067,Byron Union Elementary School District,Contra Costa County
06,073,Canyon Elementary School District,Contra Costa County
06,189,John Swett Unified School District,Contra Costa County
06,200,Knightsen Elementary School District,Contra Costa County
06,203,Lafayette Elementary School District,Contra Costa County
06,216,Liberty Union High School District,Contra Costa County
06,240,Martinez Unified School District,Contra Costa County
06,257,Moraga Elementary School District,Contra Costa County
06,263,Mount Diablo Unified School District,Contra Costa County
06,280,Oakley Union Elementary School District,Contra Costa County
06,288,Orinda Union Elementary School District,Contra Costa County
06,306,Pittsburg Unified School District,Contra Costa County
06,325,West Contra Costa Unified School District,Contra Costa County
06,351,San Ramon Valley Unified School District,Contra Costa County
06,412,Walnut Creek Elementary School District,Contra Costa County
06,107,Del Norte County Unified School District,Del Norte County
06,052,Black Oak Mine Unified School District,El Dorado County
06,062,Buckeye Union Elementary School District,El Dorado County
06,071,Camino Union Elementary School District,El Dorado County
06,120,El Dorado Union High School District,El Dorado County
06,153,Gold Oak Union Elementary School District,El Dorado County
06,154,Gold Trail Union Elementary School District,El Dorado County
06,182,Indian Diggings Elementary School District,El Dorado County
06,206,Lake Tahoe Unified School District,El Dorado County
06,211,Latrobe Elementary School District,El Dorado County
06,259,Mother Lode Union Elementary School District,El Dorado County
06,304,Pioneer Union Elementary School District,El Dorado County
06,307,Placerville Union Elementary School District,El Dorado County
06,312,Pollock Pines Elementary School District,El Dorado County
06,323,Rescue Union Elementary School District,El Dorado County
06,368,Silver Fork Elementary School District,El Dorado County
06,000,Mendota Unified School District,Fresno County
06,000,Caruthers Unified School District,Fresno County
06,014,Washington Unified School District,Fresno County
06,023,Alvina Elementary School District,Fresno County
06,048,Big Creek Elementary School District,Fresno County
06,060,Washington Unified School District (9-12),Fresno County
06,065,Burrel Union Elementary School District,Fresno County
06,079,Central Unified School District,Fresno County
06,090,Clovis Unified School District,Fresno County
06,142,Fowler Unified School District,Fresno County
06,145,Fresno Unified School District,Fresno County
06,194,Kerman Unified School District,Fresno County
06,252,Monroe Elementary School District,Fresno County
06,285,Orange Center Elementary School District,Fresno County
06,294,Pacific Union Elementary School District,Fresno County
06,299,Parlier Unified School District,Fresno County
06,303,Pine Ridge Elementary School District,Fresno County
06,316,Raisin City Elementary School District,Fresno County
06,352,Sanger Unified School District,Fresno County
06,362,Selma Unified School District,Fresno County
06,368,Sierra Unified School District,Fresno County
06,414,Washington Colony Elementary School District,Fresno County
06,420,West Park Elementary School District,Fresno County
06,422,Westside Elementary School District,Fresno County
06,911,Golden Plains Unified School District,Fresno County
06,990,Caruthers Unified School District (9-12),Fresno County
06,990,Riverdale Joint Unified School District (9-12),Fresno County
06,990,Sierra Unified School District (9-12),Fresno County
06,013,Hamilton Unified School District,Glenn County
06,060,Hamilton Unified School District (9-12),Glenn County
06,206,Lake Elementary School District,Glenn County
06,308,Plaza Elementary School District,Glenn County
06,427,Willows Unified School District,Glenn County
06,990,Orland Joint Unified School District (9-12),Glenn County
06,000,Ferndale Unified School District,Humboldt County
06,000,Mattole Unified School District,Humboldt County
06,000,Eureka City Unified School District,Humboldt County
06,014,Fortuna Elementary School District,Humboldt County
06,030,Arcata Elementary School District,Humboldt County
06,030,Northern Humboldt Union High School District,Humboldt County
06,048,Big Lagoon Union Elementary School District,Humboldt County
06,054,Blue Lake Union Elementary School District,Humboldt County
06,060,Bridgeville Elementary School District,Humboldt County
06,102,Cuddeback Union Elementary School District,Humboldt County
06,103,Cutten Elementary School District,Humboldt County
06,137,Fieldbrook Elementary School District,Humboldt County
06,141,Fortuna Union High School District,Humboldt County
06,145,Freshwater Elementary School District,Humboldt County
06,149,Garfield Elementary School District,Humboldt County
06,159,Green Point Elementary School District,Humboldt County
06,181,Hydesville Elementary School District,Humboldt County
06,186,Jacoby Creek Elementary School District,Humboldt County
06,199,Kneeland Elementary School District,Humboldt County
06,223,Loleta Union Elementary School District,Humboldt County
06,237,Maple Creek Elementary School District,Humboldt County
06,243,McKinleyville Union Elementary School District,Humboldt County
06,288,Orick Elementary School District,Humboldt County
06,294,Pacific Union Elementary School District,Humboldt County
06,300,Peninsula Union Elementary School District,Humboldt County
06,327,Rio Dell Elementary School District,Humboldt County
06,361,Scotia Union Elementary School District,Humboldt County
06,373,South Bay Union Elementary School District,Humboldt County
06,397,Trinidad Union Elementary School District,Humboldt County
06,990,Eureka City Unified School District (7-12),Humboldt County
06,990,Eureka City Unified School District (9-12),Humboldt County
06,057,Brawley Elementary School District,Imperial County
06,058,Brawley Union High School District,Imperial County
06,069,Calexico Unified School District,Imperial County
06,069,Calipatria Unified School District,Imperial County
06,080,Central Union High School District,Imperial County
06,120,El Centro Elementary School District,Imperial County
06,168,Heber Elementary School District,Imperial County
06,174,Holtville Unified School District,Imperial County
06,182,Imperial Unified School District,Imperial County
06,234,Magnolia Union Elementary School District,Imperial County
06,241,McCabe Union Elementary School District,Imperial County
06,243,Meadows Union Elementary School District,Imperial County
06,264,Mulberry Elementary School District,Imperial County
06,350,San Pasqual Valley Unified School District,Imperial County
06,362,Seeley Union Elementary School District,Imperial County
06,421,Westmorland Union Elementary School District,Imperial County
06,014,Bishop Unified School District,Inyo County
06,049,Big Pine Unified School District,Inyo County
06,106,Death Valley Unified School District,Inyo County
06,224,Lone Pine Unified School District,Inyo County
06,291,Owens Valley Unified School District,Inyo County
06,032,Arvin Union School District,Kern County
06,036,Bakersfield City School District,Kern County
06,042,Beardsley Elementary School District,Kern County
06,045,Belridge Elementary School District,Kern County
06,052,Blake Elementary School District,Kern County
06,063,Panama-Buena Vista School District,Kern County
06,067,Buttonwillow Union Elementary School District,Kern County
06,069,Caliente Union Elementary School District,Kern County
06,108,Delano Union Elementary School District,Kern County
06,111,Di Giorgio Elementary School District,Kern County
06,119,Edison Elementary School District,Kern County
06,123,Elk Hills Elementary School District,Kern County
06,132,Fairfax Elementary School District,Kern County
06,147,Fruitvale Elementary School District,Kern County
06,150,General Shafter Elementary School District,Kern County
06,160,Greenfield Union School District,Kern County
