COUNTY,RPL_THEME1,STATE
SHELBY,0.7501,ALABAMA
LAWRENCE,0.646,ALABAMA
SHELBY,0.6569,ALABAMA
MONTGOMERY,0.1781,ALABAMA
MOBILE,0.6489,ALABAMA
MARSHALL,0.5304,ALABAMA
MADISON,0.4182,ALABAMA
ST. CLAIR,0.6047,ALABAMA
DEKALB,0.6357,ALABAMA
MADISON,0.7005,ALABAMA
WALKER,0.6063,ALABAMA
MOBILE,0.3813,ALABAMA
MOBILE,0.5321,ALABAMA
CHILTON,0.6703,ALABAMA
ETOWAH,0.3411,ALABAMA
GENEVA,0.5051,ALABAMA
LEE,0.5422,ALABAMA
MORGAN,0.6168,ALABAMA
JEFFERSON,0.3896,ALABAMA
LEE,0.502,ALABAMA
MOBILE,0.4796,ALABAMA
COLBERT,0.4259,ALABAMA
JEFFERSON,0.4021,ALABAMA
CHEROKEE,0.6373,ALABAMA
MORGAN,0.761,ALABAMA
CRENSHAW,0.5769,ALABAMA
MOBILE,0.6854,ALABAMA
LEE,0.2375,ALABAMA
LEE,0.6326,ALABAMA
COLBERT,0.5872,ALABAMA
MADISON,0.6709,ALABAMA
HOUSTON,0.4389,ALABAMA
CALHOUN,0.6336,ALABAMA
TUSCALOOSA,0.3118,ALABAMA
MONTGOMERY,0.611,ALABAMA
LIMESTONE,0.6567,ALABAMA
TUSCALOOSA,0.524,ALABAMA
CULLMAN,0.7608,ALABAMA
JEFFERSON,0.7484,ALABAMA
MADISON,0.5364,ALABAMA
MOBILE,0.6318,ALABAMA
MORGAN,0.4728,ALABAMA
JEFFERSON,0.3724,ALABAMA
JEFFERSON,0.3936,ALABAMA
TUSCALOOSA,0.4874,ALABAMA
LEE,0.3757,ALABAMA
JEFFERSON,0.675,ALABAMA
TUSCALOOSA,0.7663,ALABAMA
MADISON,0.494,ALABAMA
MONTGOMERY,0.7363,ALABAMA
MORGAN,0.3562,ALABAMA
MOBILE,0.6652,ALABAMA
MADISON,0.5609,ALABAMA
MORGAN,0.6202,ALABAMA
JEFFERSON,0.5425,ALABAMA
HOUSTON,0.6233,ALABAMA
LAUDERDALE,0.3546,ALABAMA
DEKALB,0.7138,ALABAMA
BALDWIN,0.2448,ALABAMA
WALKER,0.6741,ALABAMA
LEE,0.5165,ALABAMA
JEFFERSON,0.58,ALABAMA
BALDWIN,0.6245,ALABAMA
HOUSTON,0.6183,ALABAMA
LEE,0.7862,ALABAMA
JEFFERSON,0.2476,ALABAMA
CRENSHAW,0.4311,ALABAMA
WINSTON,0.5161,ALABAMA
GENEVA,0.7246,ALABAMA
CLAY,0.8954,ALABAMA
MOBILE,0.5504,ALABAMA
