SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2009-10	42	4200061	-1	481	-1.0	117	105	100.0	-2
2009-10	42	4200062	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200063	-3	87	-3.0	21	17	100.0	-2
2009-10	42	4200064	-3	24	-3.0	-1	-2	-1.0	-2
2009-10	42	4200065	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200067	-3	241	-3.0	36	60	60.0	-2
2009-10	42	4200068	-3	169	-3.0	35	41	85.4	-2
2009-10	42	4200069	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200070	-2	-2	-2.0	-1	-2	-1.0	-2
2009-10	42	4200071	-3	4339	-3.0	1026	712	100.0	-2
2009-10	42	4200072	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200073	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200074	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200075	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200076	-3	717	-3.0	138	-2	-2.0	-2
2009-10	42	4200077	-3	959	-3.0	196	-2	-2.0	-2
2009-10	42	4200078	-1	637	-1.0	483	-2	-2.0	-2
2009-10	42	4200079	-3	608	-3.0	96	182	52.7	-2
2009-10	42	4200080	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200081	-3	447	-3.0	82	79	100.0	-2
2009-10	42	4200083	-4	0	-4.0	-1	-2	-1.0	-2
2009-10	42	4200084	-3	347	-3.0	67	97	69.1	-2
2009-10	42	4200085	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200086	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200087	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200088	-3	1006	-3.0	147	285	51.6	-2
2009-10	42	4200090	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200091	33	483	6.8	102	77	100.0	-2
2009-10	42	4200092	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200093	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200094	-3	575	-3.0	113	-2	-2.0	-2
2009-10	42	4200095	4	93	4.3	10	22	45.5	-2
2009-10	42	4200096	-2	-2	-2.0	-2	18	-2.0	-2
2009-10	42	4200098	-3	144	-3.0	6	22	27.3	-2
2009-10	42	4200099	-1	455	-1.0	106	-2	-2.0	-2
2009-10	42	4200100	5	110	4.5	30	14	100.0	-2
2009-10	42	4200101	-3	201	-3.0	37	49	75.5	-2
2009-10	42	4200102	-2	-2	-2.0	-2	18	-2.0	-2
2009-10	42	4200103	-3	372	-3.0	88	-2	-2.0	-2
2009-10	42	4200104	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200105	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200106	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200107	-3	645	-3.0	120	-2	-2.0	-2
2009-10	42	4200108	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200109	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200110	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200111	-2	-2	-2.0	-2	-2	-2.0	-2
2009-10	42	4200114	13	166	7.8	43	22	100.0	-2
