2010_MEDIAN_HOUSEHOLD_INCOME,COUNTY,STATE
31586,GENEVA COUNTY,ALABAMA
39909,GENEVA COUNTY,ALABAMA
45662,GENEVA COUNTY,ALABAMA
28077,GREENE COUNTY,ALABAMA
23871,GREENE COUNTY,ALABAMA
21988,GREENE COUNTY,ALABAMA
41524,HALE COUNTY,ALABAMA
32792,HALE COUNTY,ALABAMA
34524,HALE COUNTY,ALABAMA
27463,HALE COUNTY,ALABAMA
23606,HALE COUNTY,ALABAMA
25184,HALE COUNTY,ALABAMA
34800,HENRY COUNTY,ALABAMA
27288,HENRY COUNTY,ALABAMA
37165,HENRY COUNTY,ALABAMA
34125,HENRY COUNTY,ALABAMA
58378,HENRY COUNTY,ALABAMA
40375,HENRY COUNTY,ALABAMA
53178,HOUSTON COUNTY,ALABAMA
76671,HOUSTON COUNTY,ALABAMA
70322,HOUSTON COUNTY,ALABAMA
36789,HOUSTON COUNTY,ALABAMA
37151,HOUSTON COUNTY,ALABAMA
56888,HOUSTON COUNTY,ALABAMA
43909,HOUSTON COUNTY,ALABAMA
12930,HOUSTON COUNTY,ALABAMA
33947,HOUSTON COUNTY,ALABAMA
43516,HOUSTON COUNTY,ALABAMA
44640,HOUSTON COUNTY,ALABAMA
28313,HOUSTON COUNTY,ALABAMA
36332,HOUSTON COUNTY,ALABAMA
16641,HOUSTON COUNTY,ALABAMA
22179,HOUSTON COUNTY,ALABAMA
27683,HOUSTON COUNTY,ALABAMA
39227,HOUSTON COUNTY,ALABAMA
24574,HOUSTON COUNTY,ALABAMA
36774,HOUSTON COUNTY,ALABAMA
41796,HOUSTON COUNTY,ALABAMA
41935,HOUSTON COUNTY,ALABAMA
45054,HOUSTON COUNTY,ALABAMA
43018,JACKSON COUNTY,ALABAMA
36250,JACKSON COUNTY,ALABAMA
42715,JACKSON COUNTY,ALABAMA
40357,JACKSON COUNTY,ALABAMA
34052,JACKSON COUNTY,ALABAMA
32546,JACKSON COUNTY,ALABAMA
34700,JACKSON COUNTY,ALABAMA
38478,JACKSON COUNTY,ALABAMA
55972,JACKSON COUNTY,ALABAMA
37083,JACKSON COUNTY,ALABAMA
31675,JACKSON COUNTY,ALABAMA
30492,JEFFERSON COUNTY,ALABAMA
22038,JEFFERSON COUNTY,ALABAMA
23737,JEFFERSON COUNTY,ALABAMA
17137,JEFFERSON COUNTY,ALABAMA
14645,JEFFERSON COUNTY,ALABAMA
23657,JEFFERSON COUNTY,ALABAMA
34073,JEFFERSON COUNTY,ALABAMA
26033,JEFFERSON COUNTY,ALABAMA
26406,JEFFERSON COUNTY,ALABAMA
18911,JEFFERSON COUNTY,ALABAMA
25132,JEFFERSON COUNTY,ALABAMA
21639,JEFFERSON COUNTY,ALABAMA
24417,JEFFERSON COUNTY,ALABAMA
30819,JEFFERSON COUNTY,ALABAMA
26513,JEFFERSON COUNTY,ALABAMA
24054,JEFFERSON COUNTY,ALABAMA
61944,JEFFERSON COUNTY,ALABAMA
56015,JEFFERSON COUNTY,ALABAMA
25824,JEFFERSON COUNTY,ALABAMA
18524,JEFFERSON COUNTY,ALABAMA
14351,JEFFERSON COUNTY,ALABAMA
32708,JEFFERSON COUNTY,ALABAMA
21044,JEFFERSON COUNTY,ALABAMA
31625,JEFFERSON COUNTY,ALABAMA
17176,JEFFERSON COUNTY,ALABAMA
21116,JEFFERSON COUNTY,ALABAMA
24246,JEFFERSON COUNTY,ALABAMA
25682,JEFFERSON COUNTY,ALABAMA
41012,JEFFERSON COUNTY,ALABAMA
28006,JEFFERSON COUNTY,ALABAMA
32919,JEFFERSON COUNTY,ALABAMA
26563,JEFFERSON COUNTY,ALABAMA
21545,JEFFERSON COUNTY,ALABAMA
16796,JEFFERSON COUNTY,ALABAMA
18920,JEFFERSON COUNTY,ALABAMA
12295,JEFFERSON COUNTY,ALABAMA
35890,JEFFERSON COUNTY,ALABAMA
68516,JEFFERSON COUNTY,ALABAMA
42250,JEFFERSON COUNTY,ALABAMA
34521,JEFFERSON COUNTY,ALABAMA
35264,JEFFERSON COUNTY,ALABAMA
36149,JEFFERSON COUNTY,ALABAMA
14869,JEFFERSON COUNTY,ALABAMA
26563,JEFFERSON COUNTY,ALABAMA
26788,JEFFERSON COUNTY,ALABAMA
29243,JEFFERSON COUNTY,ALABAMA
47862,JEFFERSON COUNTY,ALABAMA
30708,JEFFERSON COUNTY,ALABAMA
51404,JEFFERSON COUNTY,ALABAMA
32232,JEFFERSON COUNTY,ALABAMA
26329,JEFFERSON COUNTY,ALABAMA
28805,JEFFERSON COUNTY,ALABAMA
42256,JEFFERSON COUNTY,ALABAMA
41112,JEFFERSON COUNTY,ALABAMA
60481,JEFFERSON COUNTY,ALABAMA
34120,JEFFERSON COUNTY,ALABAMA
58772,JEFFERSON COUNTY,ALABAMA
56643,JEFFERSON COUNTY,ALABAMA
40888,JEFFERSON COUNTY,ALABAMA
43750,JEFFERSON COUNTY,ALABAMA
15677,JEFFERSON COUNTY,ALABAMA
17622,JEFFERSON COUNTY,ALABAMA
22388,JEFFERSON COUNTY,ALABAMA
20862,JEFFERSON COUNTY,ALABAMA
25299,JEFFERSON COUNTY,ALABAMA
54097,JEFFERSON COUNTY,ALABAMA
30179,JEFFERSON COUNTY,ALABAMA
20279,JEFFERSON COUNTY,ALABAMA
36709,JEFFERSON COUNTY,ALABAMA
55476,JEFFERSON COUNTY,ALABAMA
68683,JEFFERSON COUNTY,ALABAMA
115061,JEFFERSON COUNTY,ALABAMA
54167,JEFFERSON COUNTY,ALABAMA
73722,JEFFERSON COUNTY,ALABAMA
45923,JEFFERSON COUNTY,ALABAMA
102137,JEFFERSON COUNTY,ALABAMA
161175,JEFFERSON COUNTY,ALABAMA
62461,JEFFERSON COUNTY,ALABAMA
130139,JEFFERSON COUNTY,ALABAMA
107426,JEFFERSON COUNTY,ALABAMA
25906,JEFFERSON COUNTY,ALABAMA
42995,JEFFERSON COUNTY,ALABAMA
26096,JEFFERSON COUNTY,ALABAMA
53054,JEFFERSON COUNTY,ALABAMA
84428,JEFFERSON COUNTY,ALABAMA
67149,JEFFERSON COUNTY,ALABAMA
72864,JEFFERSON COUNTY,ALABAMA
70889,JEFFERSON COUNTY,ALABAMA
68942,JEFFERSON COUNTY,ALABAMA
60089,JEFFERSON COUNTY,ALABAMA
75641,JEFFERSON COUNTY,ALABAMA
51641,JEFFERSON COUNTY,ALABAMA
68235,JEFFERSON COUNTY,ALABAMA
30824,JEFFERSON COUNTY,ALABAMA
38021,JEFFERSON COUNTY,ALABAMA
39340,JEFFERSON COUNTY,ALABAMA
66864,JEFFERSON COUNTY,ALABAMA
45577,JEFFERSON COUNTY,ALABAMA
55870,JEFFERSON COUNTY,ALABAMA
53688,JEFFERSON COUNTY,ALABAMA
58750,JEFFERSON COUNTY,ALABAMA
69704,JEFFERSON COUNTY,ALABAMA
